DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82699,6737,WP30105,0,E,7,C1D0F0T0,1,mm,a4_121820
D82699,15761,WP30105,0,E,7,C0D0F1T0,0,mm,a4_121820
D82699,9835,WP30105,0,E,8,C1D0F0T0,1,mm,a4_121820
D82699,8240,WP30105,0,E,8,C0D1F0T1,1,mm,a4_121820
D82699,3625,WP30105,0,E,8,C0D0F1T0,1,mm,a4_121820
D82699,9667,WP30105,0,E,8,C1D0F0T1,1,mm,a4_121820
D82699,19165,WP30105,0,E,8,C0D1F1T1,1,mm,a4_121820
D82699,11179,WP30105,0,E,8,C1D0F1T0,1,mm,a4_121820
D82699,19205,WP30105,0,E,8,C0D1F0T0,2,mm,a4_121820
D82699,14161,WP30105,0,E,8,C1D1F1T1,1,mm,a4_121820
D82699,15884,WP30105,0,E,8,C0D1F1T0,1,mm,a4_121820
D82699,14281,WP30105,0,E,8,C0D0F1T1,1,mm,a4_121820
D82699,14376,WP30105,0,E,8,C0D0F0T1,1,mm,a4_121820
D82699,8014,WP30105,0,E,8,C1D1F0T0,1,mm,a4_121820
D82699,3724,WP30105,0,E,9,C0D0F1T0,2,mm,a4_121820
D82699,14293,WP30105,0,E,9,C0D1F1T0,1,mm,a4_121820
D82699,1687,WP30105,0,E,9,C1D1F0T0,1,mm,a4_121820
D82699,3460,WP30105,0,E,9,C1D0F0T1,1,mm,a4_121820
D82699,11357,WP30105,0,E,9,C0D0F1T1,1,mm,a4_121820
D82699,17696,WP30105,0,E,9,C1D0F1T0,1,mm,a4_121820
D82699,19223,WP30105,0,E,9,C0D1F1T1,1,mm,a4_121820
D82699,14406,WP30105,0,E,9,C1D1F1T1,1,mm,a4_121820
D82699,9884,WP30105,0,E,9,C1D0F0T0,1,mm,a4_121820
D82699,19292,WP30105,0,E,9,C0D1F0T0,1,mm,a4_121820
D82699,9864,WP30105,0,E,9,C0D1F0T1,1,mm,a4_121820
D82699,17475,WP30105,0,E,9,C0D0F0T1,1,mm,a4_121820
D82699,18781,WP30105,0,E,10,C0D1F0T0,0,mm,a4_121820
D82699,15867,WP30105,0,E,10,C0D0F0T1,1,mm,a4_121820
D82699,14488,WP30105,0,E,10,C1D0F0T0,1,mm,a4_121820
D82699,3372,WP30105,0,E,10,C1D0F0T1,1,mm,a4_121820
D82699,16188,WP30105,0,E,10,C0D1F1T1,1,mm,a4_121820
D82699,17565,WP30105,0,E,10,C0D1F1T0,2,mm,a4_121820
D82699,8259,WP30105,0,E,10,C1D0F1T0,1,mm,a4_121820
D82699,3702,WP30105,0,E,10,C1D1F1T1,1,mm,a4_121820
D82699,7945,WP30105,0,E,10,C1D1F0T0,1,mm,a4_121820
D82699,5267,WP30105,0,E,10,C0D1F0T1,1,mm,a4_121820
D82699,14522,WP30105,0,E,10,C0D0F1T0,1,mm,a4_121820
D82699,9806,WP30105,0,E,10,C0D0F1T1,1,mm,a4_121820
D82699,111,WP30105,0,E,11,C1D0F0T1,1,mm,a4_121820
