DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82698,5068,WP30105,0,A,1,C1D0F1T0,1,mm,a4_121820
D82698,11291,WP30105,0,A,1,C0D0F1T0,1,mm,a4_121820
D82698,9609,WP30105,0,A,1,C0D0F1T1,1,mm,a4_121820
D82698,5095,WP30105,0,A,1,C1D0F0T1,1,mm,a4_121820
D82698,6638,WP30105,0,A,1,C0D1F1T1,1,mm,a4_121820
D82698,6492,WP30105,0,A,1,C1D0F0T0,1,mm,a4_121820
D82698,6646,WP30105,0,A,1,C1D1F0T0,1,mm,a4_121820
D82698,1838,WP30105,0,A,1,C0D0F0T1,2,mm,a4_121820
D82698,8141,WP30105,0,A,1,C1D1F1T1,1,mm,a4_121820
D82698,11282,WP30105,0,A,1,C0D1F0T0,1,mm,a4_121820
D82698,146,WP30105,0,A,1,C0D1F0T1,1,mm,a4_121820
D82698,9758,WP30105,0,A,1,C0D1F1T0,1,mm,a4_121820
D82698,372,WP30105,0,A,2,C0D1F1T0,1,mm,a4_121820
D82698,12855,WP30105,0,A,2,C0D1F1T1,1,mm,a4_121820
D82698,8001,WP30105,0,A,2,C0D1F0T1,1,mm,a4_121820
D82698,1900,WP30105,0,A,2,C1D1F1T1,1,mm,a4_121820
D82698,11285,WP30105,0,A,2,C0D1F0T0,1,mm,a4_121820
D82698,3551,WP30105,0,A,2,C1D1F0T0,1,mm,a4_121820
D82698,1923,WP30105,0,A,2,C1D0F1T0,1,mm,a4_121820
D82698,11297,WP30105,0,A,2,C1D0F0T1,1,mm,a4_121820
D82698,3446,WP30105,0,A,2,C0D0F1T0,1,mm,a4_121820
D82698,4946,WP30105,0,A,2,C1D0F0T0,1,mm,a4_121820
D82698,9452,WP30105,0,A,2,C0D0F1T1,2,mm,a4_121820
D82698,6552,WP30105,0,A,2,C0D0F0T1,0,mm,a4_121820
D82698,284,WP30105,0,A,3,C0D1F0T0,1,mm,a4_121820
D82698,1853,WP30105,0,A,3,C1D1F1T1,1,mm,a4_121820
D82698,12764,WP30105,0,A,3,C0D0F1T1,1,mm,a4_121820
D82698,11160,WP30105,0,A,3,C0D1F1T0,0,mm,a4_121820
D82698,348,WP30105,0,A,3,C1D1F0T0,2,mm,a4_121820
